title,year,genres,rating,votes
Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,723000
Doctor Who,2005,"Adventure,Drama,Family",8.6,192562
The Late Late Show with Craig Ferguson,2005,"Comedy,Music,Talk-Show",8.3,10113
Robot Chicken,2005,"Adventure,Animation,Comedy",7.7,38420
Weeds,2005,"Comedy,Crime,Drama",7.9,99809
The Bourne Ultimatum,2007,"Action,Mystery,Thriller",8.0,590656
Volver,2006,"Comedy,Drama",7.6,91161
The Illusionist,2006,"Drama,Fantasy,History",7.6,345162
Zodiac,2007,"Crime,Drama,Mystery",7.7,422980
Extras,2005,"Comedy,Drama",8.3,50542
Fearless,2006,"Action,Biography,Drama",7.6,71108
Little Miss Sunshine,2006,"Comedy,Drama",7.8,423269
Jodhaa Akbar,2008,"Action,Drama,History",7.6,28169
La Vie En Rose,2007,"Biography,Drama,Music",7.6,79843
Blood Diamond,2006,"Adventure,Drama,Thriller",8.0,479082
Batman Begins,2005,"Action,Adventure,Crime",8.2,12304
Lady Vengeance,2005,"Crime,Drama,Thriller",7.6,67762
Criminal Minds,2005,"Crime,Drama,Mystery",8.1,147508
Gone Baby Gone,2007,"Crime,Drama,Mystery",7.6,241229
Iqbal,2005,"Drama,Sport",8.1,15128
Inside Man,2006,"Crime,Drama,Mystery",7.6,323771
Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,557437
The Pursuit of Happyness,2006,"Biography,Drama",8.0,424174
Prison Break,2005,"Action,Crime,Drama",8.3,446536
Jack-Jack Attack,2005,"Adventure,Animation,Comedy",7.6,13728
The Last King of Scotland,2006,"Biography,Drama,History",7.7,170090
"Carry On, Munna Bhai",2006,"Comedy,Drama,Romance",8.1,40418
The Death of Mr. Lazarescu,2005,"Comedy,Drama",7.9,12764
A Bittersweet Life,2005,"Action,Crime,Drama",7.6,33838
Pan's Labyrinth,2006,"Drama,Fantasy,War",8.2,594036
After the Wedding,2006,Drama,7.7,30596
The Closer,2005,"Crime,Drama,Mystery",7.6,21849
The Colbert Report,2005,"Comedy,News,Talk-Show",8.4,37438
Star Wars: The Clone Wars,2008,"Action,Adventure,Animation",8.1,46747
The Thick of It,2005,Comedy,8.7,18865
My Name Is Earl,2005,Comedy,7.7,93088
Bones,2005,"Comedy,Crime,Drama",7.8,133444
How I Met Your Mother,2005,"Comedy,Romance",8.3,567277
Supernatural,2005,"Drama,Fantasy,Horror",8.4,370509
The Unit,2006,"Action,Drama,Thriller",8.1,19347
The Fall,2006,"Adventure,Drama,Fantasy",7.9,104096
The Elder Scrolls IV: Oblivion,2006,"Action,Adventure,Fantasy",9.0,10995
Afro Samurai,2007,"Action,Adventure,Animation",7.7,14289
Khosla Ka Ghosla!,2006,"Comedy,Crime,Drama",8.3,21004
The Dark Knight,2008,"Action,Crime,Drama",9.0,2188447
There Will Be Blood,2007,Drama,8.2,487224
Ex Machina,2014,"Drama,Mystery,Sci-Fi",7.7,447686
Athadu,2005,"Action,Thriller",8.2,11161
Futurama: Bender's Big Score,2007,"Animation,Comedy,Romance",7.7,32228
John Adams,2008,"Biography,Drama,History",8.5,26521
Apocalypto,2006,"Action,Adventure,Drama",7.8,278865
It's Always Sunny in Philadelphia,2005,Comedy,8.8,179815
Westworld,2016,"Drama,Mystery,Sci-Fi",8.7,384126
My Father and My Son,2005,"Drama,Family",8.3,73034
No Country for Old Men,2007,"Crime,Drama,Thriller",8.1,805619
Metal: A Headbanger's Journey,2005,"Documentary,Music",8.1,11381
Life on Mars,2006,"Crime,Drama,Mystery",8.3,27420
One Man Band,2005,"Animation,Comedy,Family",7.7,14113
This Is England,2006,"Crime,Drama",7.7,112612
Elfen Lied,2004,"Action,Animation,Drama",8.0,28103
The Prestige,2006,"Drama,Mystery,Sci-Fi",8.5,1120496
Torchwood,2006,"Action,Drama,Fantasy",7.7,37461
The Secret of Kells,2009,"Adventure,Animation,Family",7.6,29634
Studio 60 on the Sunset Strip,2006,"Comedy,Drama",8.2,22605
Mr. Nobody,2009,"Drama,Fantasy,Romance",7.8,206219
Stardust,2007,"Adventure,Family,Fantasy",7.6,245563
The IT Crowd,2006,Comedy,8.5,125136
Omkara,2006,"Action,Crime,Drama",8.1,18022
12,2007,"Crime,Drama,Thriller",7.7,13505
Who Killed the Electric Car?,2006,Documentary,7.6,11988
Carnival Row,2019,"Crime,Drama,Fantasy",7.9,36231
Psych,2006,"Comedy,Crime,Mystery",8.3,80231
Halo 3,2007,"Action,Adventure,Family",8.8,10033
Hellsing Ultimate,2006,"Action,Animation,Drama",8.3,18231
30 Rock,2006,Comedy,8.2,107576
Letters from Iwo Jima,2006,"Action,Adventure,Drama",7.9,149705
Guru,2007,"Biography,Drama",7.7,20753
Avatar,2009,"Action,Adventure,Fantasy",7.8,1083217
The Last One: Part 2,2004,"Comedy,Romance",9.7,10257
